项目ID,统计行ID,原表名称,产品,省份,月份,期间性质,月产能实物吨,月产能镍吨或纯镍表数值,实物产量吨,镍金属产量或纯镍表产量,品位,原表开工率,原料字段,文件,工作表,行,月份起始列
CN001,N028,扬州一川镍业有限公司,镍生铁／镍铁,江苏,2017-01,原表月度记录,,0,1500,127.5,0.085,,{},明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,28,30
CN001,N028,扬州一川镍业有限公司,镍生铁／镍铁,江苏,2017-02,原表月度记录,,0,1500,127.5,0.085,,{},明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,28,35
CN001,N028,扬州一川镍业有限公司,镍生铁／镍铁,江苏,2017-03,原表月度记录,,0,1400,119.0,0.085,,{},明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,28,40
CN001,N028,扬州一川镍业有限公司,镍生铁／镍铁,江苏,2017-04,原表月度记录,,0,1400,119.0,0.085,,{},明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,28,45
CN001,N028,扬州一川镍业有限公司,镍生铁／镍铁,江苏,2017-05,原表月度记录,,0,1300,110.5,0.085,,{},明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,28,50
CN001,N028,扬州一川镍业有限公司,镍生铁／镍铁,江苏,2017-06,原表月度记录,,0,1300,113.1,0.087,,{},明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,28,55
CN001,N028,扬州一川镍业有限公司,镍生铁／镍铁,江苏,2017-07,原表月度记录,,0,1250,118.75,0.095,,{},明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,28,60
CN001,N028,扬州一川镍业有限公司,镍生铁／镍铁,江苏,2017-08,原表月度记录,,0,2000,190,0.095,,{},明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,28,65
CN001,N028,扬州一川镍业有限公司,镍生铁／镍铁,江苏,2017-09,原表月度记录,,0,2800,266,0.095,,{},明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,28,70
CN001,N028,扬州一川镍业有限公司,镍生铁／镍铁,江苏,2017-10,原表月度记录,,0,2600,247,0.095,,{},明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,28,75
CN001,N028,扬州一川镍业有限公司,镍生铁／镍铁,江苏,2017-11,原表月度记录,,0,2500,225,0.09,,{},明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,28,80
CN001,N028,扬州一川镍业有限公司,镍生铁／镍铁,江苏,2017-12,原表月度记录,,0,2500,225,0.09,,{},明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,28,85
