项目ID,统一项目名,原表名称,产品,省份,市（原表）,企业性质,工艺,统计行ID,文件,工作表,原表行,合并方式,样本合计处理
CN001,扬州一川镍业有限公司,扬州一川镍业有限公司,镍生铁／镍铁,江苏,,民企,RKEF,N028,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,28,保留独立产线,可按同产品读取
CN002,宿迁翔翔实业有限公司,宿迁翔翔实业有限公司,镍生铁／镍铁,江苏,,民企,RKEF,N029,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,29,保留独立产线,可按同产品读取
CN003,连云港海赣科技有限公司,连云港海赣科技有限公司,镍生铁／镍铁,江苏,,民企,EF,N030,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,30,保留独立产线,可按同产品读取
CN004,连云港科创不锈钢新材料有限公司,连云港科创不锈钢新材料有限公司,镍生铁／镍铁,江苏,,民企,EF,N031,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,31,保留独立产线,可按同产品读取
CN005,江苏德龙镍业有限公司,江苏德龙镍业有限公司,镍生铁／镍铁,江苏,,民企,RKEF,N032,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,32,保留独立产线,可按同产品读取
CN006,赣榆县金成镍业有限公司,赣榆县金成镍业有限公司,镍生铁／镍铁,江苏,,民企,RKEF,N033,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,33,保留独立产线,可按同产品读取
CN007,连云港天乙金属制品有限公司,连云港天乙金属制品有限公司,镍生铁／镍铁,江苏,,民企,EF,N034,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,34,保留独立产线,可按同产品读取
CN008,江苏宝通镍业有限公司,江苏宝通镍业有限公司,镍生铁／镍铁,江苏,,民企,EF,N035,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,35,保留独立产线,可按同产品读取
CN009,荣阳钢铁,荣阳钢铁,镍生铁／镍铁,江苏,,民企,RKEF,N036,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,36,保留独立产线,可按同产品读取
CN010,营口宁丰镁业（宁丰集团）,营口宁丰镁业（宁丰集团）,镍生铁／镍铁,辽宁,,民企,RKEF,N037,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,37,保留独立产线,可按同产品读取
