项目ID,序号,产品,日期,月份,出口商(标准化),出口商(原始),园区,出发港,买家,目的国,到货港,HS,重量(吨),Ni%原文,Ni%(修正),品位来源,Ni金属量(吨),金额USD,USD每实物吨,USD每镍吨,品名,质量标记,数据源,excel_row
NPI037,55,高冰镍,2023-01-12,2023-01,PT LESTARI SMELTER INDONESIA,PT LESTARI SMELTER INDONESIA,IMIP(Morowali),Bahudopi,GLENCORE NIKKELVERK A S,Norway,Kristiansand,75011000,677.12,,72.76,"推算(全国高冰加权72.76,弱)",492.67,9561713.29,14121,19408,NICKEL MATTE,,中间品矩阵(75章+720150等),56
NPI037,113,高冰镍,2023-01-20,2023-01,PT LESTARI SMELTER INDONESIA,PT LESTARI SMELTER INDONESIA,IMIP(Morowali),Bahudopi,"Changsha Shangchuang Trading Co., Ltd.",China,Qinzhou,75011000,809.92,,72.76,"推算(全国高冰加权72.76,弱)",589.3,11089577.74,13692,18818,NICKEL MATTE,,中间品矩阵(75章+720150等),114
NPI037,133,高冰镍,2023-01-24,2023-01,PT LESTARI SMELTER INDONESIA,PT LESTARI SMELTER INDONESIA,IMIP(Morowali),Bahudopi,"Zhejiang Xinan International Trade Group Co., Ltd.",China,Ningbo,75011000,670.49,,72.76,"推算(全国高冰加权72.76,弱)",487.85,9208338.03,13734,18875,NICKEL MATTE,,中间品矩阵(75章+720150等),134
NPI037,415,高冰镍,2023-03-18,2023-03,PT LESTARI SMELTER INDONESIA,PT LESTARI SMELTER INDONESIA,IMIP(Morowali),Bahudopi,"Zhejiang Xinan International Trade Group Co., Ltd.",China,Ningbo,75011000,268.4,,72.76,"推算(全国高冰加权72.76,弱)",195.29,3703490.92,13798,18964,NICKEL MATTE,,中间品矩阵(75章+720150等),416
NPI037,704,NPI/FeNi,2023-05-08,2023-05,PT LESTARI SMELTER INDONESIA,PT LESTARI SMELTER INDONESIA,IMIP(Morowali),Bahudopi,"Shanghai Decent Investment (Group) Co., Ltd.",China,Yangjiang,72026000,5653.67,11,11,原文提取,621.9,8333510,1474,13400,11.00 PCT OF NICKEL PIG IRON,,NPI矩阵(720260),705
NPI037,816,NPI/FeNi,2023-05-24,2023-05,PT LESTARI SMELTER INDONESIA,PT LESTARI SMELTER INDONESIA,IMIP(Morowali),Bahudopi,"Tsingshan Holding Group Co., Ltd.",China,Ningde,72026000,4625.11,11.15,11.15,原文提取,515.7,7046006,1523,13663,11.15 PCT OF NICKEL PIG IRON,,NPI矩阵(720260),817
NPI037,976,NPI/FeNi,2023-06-15,2023-06,PT LESTARI SMELTER INDONESIA,PT LESTARI SMELTER INDONESIA,IMIP(Morowali),Bahudopi,"Shanghai Decent Investment (Group) Co., Ltd.",China,Ningde,72026000,5499.33,11.02,11.02,原文提取,606.03,8333466,1515,13751,11.02 PCT OF NICKEL PIG IRON,,NPI矩阵(720260),977
NPI037,1024,NPI/FeNi,2023-06-22,2023-06,PT LESTARI SMELTER INDONESIA,PT LESTARI SMELTER INDONESIA,IMIP(Morowali),Bahudopi,"Tsingshan Holding Group Co., Ltd.",China,Ningde,72026000,4911.95,10.92,10.92,原文提取,536.38,7375829,1502,13751,10.92 PCT OF NICKEL PIG IRON,,NPI矩阵(720260),1025
NPI037,1055,NPI/FeNi,2023-06-26,2023-06,PT LESTARI SMELTER INDONESIA,PT LESTARI SMELTER INDONESIA,IMIP(Morowali),Bahudopi,"Tsingshan Holding Group Co., Ltd.",China,Ningde,72026000,10000.05,10.36,10.36,原文提取,1036.01,14246107,1425,13751,10.36 PCT OF NICKEL PIG IRON,,NPI矩阵(720260),1056
NPI037,1085,NPI/FeNi,2023-07-02,2023-07,PT LESTARI SMELTER INDONESIA,PT LESTARI SMELTER INDONESIA,IMIP(Morowali),Bahudopi,"Tsingshan Holding Group Co., Ltd.",China,Yangjiang,72026000,5154.91,10.84,10.84,原文提取,558.79,7202832,1397,12890,10.84 PCT OF NICKEL PIG IRON,,NPI矩阵(720260),1086
