项目ID,项目,状态,资料时点,说明,分产品状态,整理日期
NPI004,PT Nicole Metal Industry (NMI) 妮可镍业,已投产,2025年第二季度,2025年第二季度开始出现经营收入。NPI经营与高冰镍商业发货分别记录；收入披露没有拆分产品。,NPI／镍铁:既有生产业务；高冰镍:已见商业发货；本厂自产路径待补充,2026-09-18
NPI005,PT Angel Nickel Industry (ANI) 安琪镍业,已投产,2022年起；运营资料见正文,NPI装置已投入生产。,,2026-09-18
NPI006,PT Langit Metal Industry 蓝天金属工业,已投产,2021年3月,第四条RKEF启动；后续逐炉负荷未单独披露。,,2026-09-18
NPI007,PT Yashi Indonesia Investment 雅石投资,已投产,2020年6月22日投产；2024年工业名录,既有镍铁生产项目，当前逐炉负荷见后续经营披露。,,2026-09-18
NPI008,PT Youshan Nickel Indonesia 友山镍业,已投产,2020—2021年；后续经营见正文,已建立生产及低冰镍供料业务。,,2026-09-18
NPI009,PT Weda Bay Nickel (WBN) 纬达贝镍业,已投产,2025年报,镍铁冶炼业务运行；2026年9月的复采节点属于矿山。,,2026-09-18
NPI010,PT Infei Metal Industry 英菲金属工业,已投产,2022年4月投产；2024—2025年持续运营资料,已有商业运营记录。,,2026-09-18
NPI011,PT Cosan Metal Industry (COSAN) 科赞金属工业,已投产,2024/25财年,已形成经营收入；镍铁与冰镍产品分配见正文。,,2026-09-18
NPI012,PT Debonair Nickel Indonesia 德邦镍业,已投产,2023年1月12日首炉产出,已有生产记录，2026年分产品开工情况另行核对。,,2026-09-18
NPI013,PT Andalan Metal Industry (AMI) 安达兰金属工业,已投产,2023年既有NPI资产收购披露,已建成的NPI资产，当前逐炉运行情况未单列。,,2026-09-18
NPI014,PT Jiu Long Metal Industry 九龙金属工业,已投产,2026年5月,管理层介绍NPI生产、混矿和经营降本。,,2026-09-18
NPI015,PT Perkasa Metal Industry 佩尔卡萨金属工业,已投产 · 当期负荷待更新,2023年在运名录；2023—2026年贸易样本,已找到具名在运名录，移出“投产待确认”；当前逐炉负荷另核。,,2026-09-18
NPI016,PT Kao Rahai Smelters 金川考拉海冶炼,已投产,2026年评级资料,资料称产能、产销保持稳定。,,2026-09-18
NPI017,PT Lipe Metal Industry 利佩金属工业,已投产 · 当期负荷待更新,2023年在运名录；2023—2026年贸易样本,已找到具名在运名录，移出“投产待确认”；当前逐炉负荷另核。,,2026-09-18
NPI018,PT Maluku Utara Metal Industry 北马鲁古金属工业,已投产 · 当期负荷待更新,2023年在运名录；2023—2026年贸易样本,已找到具名在运名录，移出“投产待确认”；当前逐炉负荷另核。,,2026-09-18
