序号,产品,日期,月份,出口商(标准化),出口商(原始),园区,出发港,买家,目的国,到货港,HS,重量(吨),Ni%原文,Ni%(修正),品位来源,Ni金属量(吨),金额USD,USD每实物吨,USD每镍吨,品名,质量标记,数据源,source_row,参考计入重量吨,复核标记,关联客户ID
802,硫酸镍,2023-05-19,2023-05,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhangjiagang,28332400,216,,22.2,化学计量(NiSO4·6H2O 22.2%),47.95,838996,3884,17497,NICKEL SULFATE,,中间品矩阵(75章+720150等),803,216,,NC162
986,硫酸镍,2023-06-16,2023-06,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhangjiagang,28332400,1920,,22.2,化学计量(NiSO4·6H2O 22.2%),426.24,7234982,3768,16974,NICKEL SULFATE,,中间品矩阵(75章+720150等),987,1920,,NC162
987,硫酸镍,2023-06-16,2023-06,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhangjiagang,28332400,3664,,22.2,化学计量(NiSO4·6H2O 22.2%),813.41,13806758,3768,16974,NICKEL SULFATE,,中间品矩阵(75章+720150等),988,3664,,NC162
1087,硫酸镍,2023-07-02,2023-07,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,4440,,22.2,化学计量(NiSO4·6H2O 22.2%),985.68,16675042,3756,16917,NICKEL SULFATE,,中间品矩阵(75章+720150等),1088,4440,,NC162
1239,硫酸镍,2023-07-21,2023-07,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,20,,22.2,化学计量(NiSO4·6H2O 22.2%),4.44,76153,3808,17152,NICKEL SULFATE,,中间品矩阵(75章+720150等),1240,20,,NC162
1240,硫酸镍,2023-07-21,2023-07,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,5380,,22.2,化学计量(NiSO4·6H2O 22.2%),1194.36,20485211,3808,17152,NICKEL SULFATE,,中间品矩阵(75章+720150等),1241,5380,,NC162
1349,硫酸镍,2023-08-06,2023-08,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,5680,,22.2,化学计量(NiSO4·6H2O 22.2%),1260.96,21388267,3766,16962,NICKEL SULFATE,,中间品矩阵(75章+720150等),1350,5680,,NC162
1376,硫酸镍,2023-08-10,2023-08,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhangjiagang,28332400,2060,,22.2,化学计量(NiSO4·6H2O 22.2%),457.32,7750297,3762,16947,NICKEL SULFATE,,中间品矩阵(75章+720150等),1377,2060,,NC162
1377,硫酸镍,2023-08-10,2023-08,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhangjiagang,28332400,2080,,22.2,化学计量(NiSO4·6H2O 22.2%),461.76,7825542,3762,16947,NICKEL SULFATE,,中间品矩阵(75章+720150等),1378,2080,,NC162
1593,硫酸镍,2023-09-06,2023-09,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,1180,,22.2,化学计量(NiSO4·6H2O 22.2%),261.96,4213485,3571,16084,NICKEL SULFATE,,中间品矩阵(75章+720150等),1594,1180,,NC162
